index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,2.20392755974,2.46811290696,-0.681127840361,-3.94343088202,-0.664059528638,-0.34939623805,7.86264546464,2.03489926006,0.501856106935,-1.14770545386,-3.97263394879,2.16716463619,1.23691242035,3.60874195632,-2.92377969653,-4.33060585004,7.27008862317,1.88602757994,3.22747627695,3.36613912861
1,2.80169895733,1.95723051348,-1.14693284635,-4.94585828997,-0.670485624324,0.243789010331,7.03153943205,2.13182582795,0.921411215276,-1.340411043,-0.640727312948,6.71861884354,0.937002632753,3.36370656962,-0.925437678292,-3.45003157757,8.08359283602,3.52027365273,7.04939816872,3.22248515625
2,4.19310773079,7.80929828609,-1.68437533966,-5.51308401821,0.0255467770535,0.804822304771,6.983547261,2.16721810809,-0.550018410278,2.96525723539,1.69351197681,5.67759162659,0.30945854477,4.84878109455,-2.7599399373,5.74303495386,8.14834374414,3.30274917307,6.8393837413,2.69236785617
3,3.66953995043,4.93428495813,-0.315117772446,-5.37741382626,-0.2304702513,0.741491385493,6.46834554947,0.473280894945,-0.772502392563,0.965809807844,-2.20233707253,4.57151439312,-0.857829494823,3.42447170222,-3.55439599969,1.66915913826,8.65605137084,3.01439757806,4.85769717953,2.56384576177
4,3.03375089429,3.48503456491,-0.917917734782,-3.60334444893,-1.00799057331,0.220485084754,8.20029642979,2.36163720327,-1.74714879903,0.0597252482776,1.09475978679,4.89636613551,0.668764808467,2.71936077152,-2.01001662696,-1.09480430891,7.34855068842,3.14255534264,4.32150810464,2.58939939639
5,2.41011592893,2.06011067739,-1.201113727,-3.610549886,-0.836974218206,-0.26741479286,6.78838595107,1.09941957563,0.388851403899,-1.71225656726,4.11962386501,6.55644437556,0.782530056758,3.68323803623,-3.99414370417,-4.56266883845,8.02661335943,2.86653997997,3.16490244775,3.46056864308
6,4.13433940382,8.33691263764,-0.396552016059,-4.67684627746,-0.86216131778,0.534887093895,7.1286980466,-1.17885192446,-0.811069848699,3.44871609961,0.673111668092,4.67308249378,-1.55595205585,4.475655554,-4.50376774939,6.25413259105,7.8803281885,2.92085936571,7.58404559739,2.51524914253
7,3.69790863156,6.14422967183,-0.784760019919,-2.28044401486,-0.98098829639,0.59685958629,6.75709819004,2.04691516659,-0.366647311446,1.98887920724,0.550651088255,5.19925539935,-0.227740666476,2.02074518496,-2.91823514872,3.13182886215,8.35685014542,2.91559921172,2.57392378681,2.78246084639
8,2.56535590133,3.58154593381,-0.151427431593,-2.80351268203,-0.00138320671543,0.03020799605,7.24414709277,-0.269337052851,-1.42578119359,-0.814119774249,2.39977831438,3.05782982048,0.613010135875,2.35331816258,-5.65034846754,-2.78219113736,8.46895066023,3.3383627754,5.14714342798,2.92780014953
9,2.46107289752,3.95617702607,-3.20648801351,-4.08768357736,-1.14188603694,-0.175988608935,7.35402865496,2.82311010685,-0.83946524894,-0.255106232174,3.19110673175,1.95916222976,0.2888706369,4.52776985717,-2.29819980394,-2.36501605068,7.72066121781,3.47171472132,4.1258617929,3.76648612597
